"螟沥斥档","螟沥家疙","捞魂拳龙家丑档(ppm)","坷粮丑档(ppm)","老魂拳藕家丑档(ppm)","酒炔魂啊胶(ppm)","固技刚瘤(Ф/З)","檬固技刚瘤(Ф/З)"
"2023","碍巢备","0.036","0.015","0.6","0.004","44","29"
"2023","碍巢措肺","0.04","0.01","0.9","0.004","48","32"
"2023","碍悼备","0.031","0.012","0.6","0.003","48","34"
"2023","碍函合肺","0.043","0.01","0.8","0.003","47","33"
"2023","碍合备","0.03","0.018","0.7","0.003","44","28"
"2023","碍辑备","0.038","0.015","0.8","0.004","56","32"
"2023","傍亲措肺","0.04","0.011","0.7","0.003","49","32"
"2023","包厩备","0.04","0.013","0.7","0.003","47","29"
"2023","包厩魂","0.013","0.035","0.3","0.004","35","22"
"2023","堡柳备","0.022","0.012","0.8","0.002","44","30"
"2023","备肺备","0.032","0.013","0.5","0.003","48","31"
"2023","陛玫备","0.034","0.015","0.6","0.004","42","33"
"2023","巢魂","0.029","0.017","0.9","0.004","41","30"
"2023","畴盔备","0.042","0.015","0.7","0.004","46","34"
"2023","档豪备","0.03","0.019","0.7","0.003","38","27"
"2023","档魂措肺","0.039","0.01","0.9","0.004","46","32"
"2023","悼措巩备","0.035","0.015","0.7","0.004","43","29"
"2023","悼累备","0.039","0.013","0.6","0.003","47","33"
"2023","悼累措肺","0.043","0.012","0.8","0.003","51","32"
"2023","付器备","0.038","0.012","0.7","0.004","37","35"
"2023","付器酒飘季磐","0.038","0.016","0.7","0.004","46","30"
"2023","合茄魂","0.011","0.029","0.3","0.003","32","23"
"2023","辑措巩备","0.035","0.015","0.8","0.006","43","28"
"2023","辑匡剑","0.036","0.014","0.6","0.004","45","28"
"2023","辑檬备","0.037","0.013","0.5","0.003","46","30"
"2023","己悼备","0.038","0.013","0.6","0.004","46","26"
"2023","己合备","0.04","0.013","0.8","0.004","40","29"
"2023","技邦","0.036","0.013","0.9","0.005","47","31"
"2023","价颇备","0.039","0.012","0.7","0.003","44","30"
"2023","矫蕊措肺","0.044","0.011","0.7","0.004","43","24"
"2023","脚锰肺","0.044","0.009","0.8","0.004","53","37"
"2023","剧玫备","0.036","0.012","0.7","0.003","50","36"
"2023","康殿器备","0.039","0.013","0.7","0.004","47","33"
"2023","康殿器肺","0.042","0.011","0.8","0.004","48","35"
"2023","棵覆侨傍盔","0.035","0.019","0.8","0.003","43","33"
"2023","侩魂备","0.032","0.014","0.7","0.004","41","30"
"2023","篮乞备","0.028","0.016","0.8","0.004","41","26"
"2023","磊楷荤冠拱包","0.034","0.017","0.5","0.004","40","27"
"2023","沥釜肺","0.043","0.009","0.8","0.004","47","33"
"2023","辆肺","0.038","0.013","0.8","0.004","43","26"
"2023","辆肺备","0.036","0.014","0.7","0.004","43","34"
"2023","吝备","0.038","0.018","0.7","0.004","44","37"
"2023","吝尔备","0.037","0.014","0.6","0.003","43","32"
"2023","玫龋措肺","0.044","0.009","0.8","0.004","48","32"
"2023","没拌玫肺","0.034","0.013","0.7","0.004","47","30"
"2023","茄碍措肺","0.041","0.014","0.8","0.004","49","29"
"2023","亲悼","0.021","0.016","0.9","0.004","42","28"
"2023","青林","0.029","0.016","0.6","0.004","45","30"
"2023","全釜肺","0.038","0.01","0.7","0.004","43","33"
"2023","拳尔肺","0.045","0.01","0.7","0.003","44","30"
"2022","碍巢备","0.023","0.03","0.4","0.003","32","18"
"2022","碍巢措肺","0.031","0.019","0.6","0.003","37","19"
"2022","碍悼备","0.02","0.025","0.4","0.003","34","19"
"2022","碍函合肺","0.032","0.02","0.6","0.003","36","19"
"2022","碍合备","0.015","0.032","0.4","0.002","34","18"
"2022","碍辑备","0.022","0.03","0.5","0.003","37","19"
"2022","傍亲措肺","0.029","0.024","0.5","0.003","37","19"
"2022","包厩备","0.023","0.027","0.5","0.003","34","18"
"2022","包厩魂","0.009","0.045","0.4","0.003","29","16"
"2022","堡柳备","0.019","0.028","0.5","0.003","32","18"
"2022","备肺备","0.02","0.03","0.4","0.003","35","17"
"2022","陛玫备","0.022","0.029","0.4","0.003","31","19"
"2022","巢魂","0.019","0.036","0.5","0.003","28","14"
"2022","畴盔备","0.021","0.03","0.5","0.003","34","21"
"2022","档豪备","0.016","0.031","0.5","0.003","29","17"
"2022","档魂措肺","0.026","0.025","0.6","0.003","37","19"
"2022","悼措巩备","0.022","0.031","0.4","0.003","34","19"
"2022","悼累备","0.022","0.031","0.4","0.003","35","20"
"2022","悼累措肺","0.034","0.024","0.5","0.003","37","20"
"2022","付器备","0.023","0.029","0.4","0.003","30","18"
"2022","付器酒飘季磐","0.022","0.035","0.5","0.003","32","16"
"2022","合茄魂","0.009","0.035","0.3","0.002","26","16"
"2022","辑措巩备","0.018","0.029","0.6","0.003","30","16"
"2022","辑匡剑","0.02","0.026","0.5","0.003","34","16"
"2022","辑檬备","0.022","0.028","0.4","0.002","32","17"
"2022","己悼备","0.021","0.028","0.4","0.003","35","16"
"2022","己合备","0.024","0.028","0.5","0.003","34","18"
"2022","技邦","0.023","0.025","0.6","0.003","36","18"
"2022","价颇备","0.025","0.027","0.5","0.003","35","19"
"2022","矫蕊措肺","0.035","0.022","0.5","0.003","36","18"
"2022","脚锰肺","0.034","0.022","0.6","0.003","39","20"
"2022","剧玫备","0.021","0.027","0.5","0.003","35","20"
"2022","康殿器备","0.023","0.028","0.5","0.003","32","18"
"2022","康殿器肺","0.031","0.023","0.5","0.003","34","20"
"2022","棵覆侨傍盔","0.02","0.032","0.5","0.003","31","19"
"2022","侩魂备","0.021","0.029","0.4","0.003","33","19"
"2022","篮乞备","0.017","0.029","0.5","0.003","33","19"
"2022","磊楷荤冠拱包","0.019","0.035","0.5","0.003","30","16"
"2022","沥釜肺","0.034","0.022","0.5","0.003","36","20"
"2022","辆肺","0.024","0.024","0.5","0.003","34","17"
"2022","辆肺备","0.022","0.031","0.5","0.003","33","20"
"2022","吝备","0.024","0.03","0.4","0.003","30","19"
"2022","吝尔备","0.021","0.031","0.4","0.003","33","18"
"2022","玫龋措肺","0.031","0.022","0.5","0.003","37","19"
"2022","没拌玫肺","0.026","0.026","0.5","0.004","37","20"
"2022","茄碍措肺","0.029","0.02","0.5","0.003","43","19"
"2022","亲悼","0.019","0.026","0.5","0.003","33","16"
"2022","青林","0.017","0.028","0.5","0.003","34","17"
"2022","全釜肺","0.027","0.024","0.5","0.003","35","20"
"2022","拳尔肺","0.034","0.022","0.5","0.003","32","19"
"2021","碍巢备","0.024","0.028","0.4","0.003","37","20"
"2021","碍巢措肺","0.032","0.02","0.7","0.003","40","19"
"2021","碍悼备","0.022","0.025","0.4","0.003","40","21"
"2021","碍函合肺","0.031","0.021","0.6","0.003","39","21"
"2021","碍合备","0.016","0.029","0.4","0.003","39","19"
"2021","碍辑备","0.026","0.029","0.5","0.003","41","22"
"2021","傍亲措肺","0.033","0.025","0.5","0.003","43","20"
"2021","包厩备","0.027","0.028","0.5","0.003","36","19"
"2021","包厩魂","0.009","0.047","0.3","0.003","34","16"
"2021","堡柳备","0.02","0.027","0.5","0.003","37","20"
"2021","备肺备","0.024","0.031","0.4","0.003","41","20"
"2021","陛玫备","0.025","0.028","0.4","0.003","38","22"
"2021","巢魂","0.016","0.034","0.5","0.003","33","18"
"2021","畴盔备","0.022","0.028","0.5","0.003","38","21"
"2021","档豪备","0.017","0.03","0.4","0.003","37","18"
"2021","档魂措肺","0.031","0.023","0.7","0.003","42","21"
"2021","悼措巩备","0.025","0.029","0.4","0.003","38","20"
"2021","悼累备","0.024","0.027","0.4","0.003","41","21"
"2021","悼累措肺","0.039","0.021","0.5","0.003","42","19"
"2021","付器备","0.027","0.027","0.5","0.003","36","19"
"2021","付器酒飘季磐","0.023","0.034","0.6","0.003","36","20"
"2021","合茄魂","0.011","0.033","0.4","0.002","31","18"
"2021","辑措巩备","0.018","0.029","0.5","0.004","34","20"
"2021","辑匡剑","0.024","0.027","0.5","0.003","40","19"
"2021","辑檬备","0.025","0.028","0.4","0.003","39","19"
"2021","己悼备","0.027","0.03","0.4","0.003","38","19"
"2021","己合备","0.025","0.027","0.6","0.003","39","18"
"2021","技邦","0.024","0.025","0.6","0.003","41","20"
"2021","价颇备","0.027","0.028","0.5","0.003","38","19"
"2021","矫蕊措肺","0.042","0.02","0.6","0.004","47","23"
"2021","脚锰肺","0.039","0.018","0.6","0.003","41","22"
"2021","剧玫备","0.025","0.027","0.5","0.003","41","21"
"2021","康殿器备","0.027","0.026","0.5","0.003","37","21"
"2021","康殿器肺","0.035","0.021","0.6","0.003","40","21"
"2021","棵覆侨傍盔","0.02","0.031","0.5","0.003","32","19"
"2021","侩魂备","0.022","0.023","0.4","0.003","37","19"
"2021","篮乞备","0.018","0.031","0.5","0.003","38","21"
"2021","磊楷荤冠拱包","0.02","0.037","0.6","0.004","36","19"
"2021","沥釜肺","0.038","0.021","0.5","0.003","40","20"
"2021","辆肺","0.031","0.023","0.5","0.003","38","18"
"2021","辆肺备","0.023","0.029","0.5","0.003","40","21"
"2021","吝备","0.027","0.026","0.5","0.003","41","21"
"2021","吝尔备","0.023","0.029","0.4","0.003","38","18"
"2021","玫龋措肺","0.033","0.022","0.5","0.003","45","21"
"2021","没拌玫肺","0.031","0.026","0.6","0.004","40","22"
"2021","茄碍措肺","0.031","0.017","0.6","0.003","46","20"
"2021","亲悼","0.023","0.026","0.4","0.003","40","19"
"2021","青林","0.021","0.03","0.6","0.003","40","20"
"2021","全釜肺","0.032","0.022","0.5","0.003","39","20"
"2021","拳尔肺","0.035","0.016","0.5","0.003","40","20"
"2020","碍巢备","0.025","0.026","0.5","0.003","32","21"
"2020","碍巢措肺","0.034","0.018","0.7","0.003","37","19"
"2020","碍悼备","0.025","0.023","0.5","0.003","37","23"
"2020","碍函合肺","0.034","0.02","0.6","0.003","37","20"
"2020","碍合备","0.02","0.024","0.4","0.003","38","21"
"2020","碍辑备","0.023","0.026","0.4","0.004","38","21"
"2020","傍亲措肺","0.031","0.019","0.5","0.004","42","22"
"2020","包厩备","0.028","0.025","0.5","0.003","35","19"
"2020","包厩魂","0.011","0.032","0.4","0.004","31","16"
"2020","堡柳备","0.02","0.024","0.6","0.003","34","20"
"2020","备肺备","0.023","0.028","0.3","0.003","38","21"
"2020","陛玫备","0.025","0.022","0.5","0.003","35","22"
"2020","巢魂","0.022","0.031","0.6","0.003","30","17"
"2020","畴盔备","0.023","0.026","0.5","0.003","36","23"
"2020","档豪备","0.019","0.028","0.4","0.003","32","20"
"2020","档魂措肺","0.031","0.02","0.7","0.003","38","20"
"2020","悼措巩备","0.025","0.026","0.5","0.003","33","19"
"2020","悼累备","0.025","0.023","0.4","0.003","40","22"
"2020","悼累措肺","0.042","0.02","0.5","0.004","42","22"
"2020","付器备","0.028","0.023","0.5","0.003","33","21"
"2020","付器酒飘季磐","0.022","0.031","0.3","0.003","34","19"
"2020","合茄魂","0.011","0.032","0.4","0.002","30","15"
"2020","辑措巩备","0.02","0.027","0.6","0.003","34","20"
"2020","辑匡剑","0.022","0.02","0.4","0.003","33","17"
"2020","辑檬备","0.026","0.029","0.4","0.003","39","21"
"2020","己悼备","0.025","0.025","0.4","0.003","34","21"
"2020","己合备","0.028","0.024","0.6","0.003","36","19"
"2020","技邦","0.027","0.019","0.7","0.003","38","21"
"2020","价颇备","0.028","0.022","0.5","0.003","34","21"
"2020","矫蕊措肺","0.038","0.02","0.6","0.004","41","23"
"2020","脚锰肺","0.037","0.019","0.6","0.003","40","24"
"2020","剧玫备","0.026","0.024","0.5","0.004","38","22"
"2020","康殿器备","0.026","0.024","0.5","0.003","34","21"
"2020","康殿器肺","0.037","0.019","0.6","0.003","39","23"
"2020","棵覆侨傍盔","0.018","0.023","0.4","0.004","32","20"
"2020","侩魂备","0.02","0.022","0.5","0.003","36","20"
"2020","篮乞备","0.017","0.029","0.5","0.003","34","19"
"2020","磊楷荤冠拱包","0.019","0.032","0.5","0.006","33","20"
"2020","沥釜肺","0.035","0.018","0.5","0.004","41","25"
"2020","辆肺","0.025","0.023","0.5","0.003","39","22"
"2020","辆肺备","0.025","0.025","0.5","0.004","36","22"
"2020","吝备","0.024","0.024","0.5","0.003","36","23"
"2020","吝尔备","0.024","0.024","0.5","0.003","35","19"
"2020","玫龋措肺","0.035","0.021","0.6","0.004","41","21"
"2020","没拌玫肺","0.028","0.022","0.6","0.004","39","26"
"2020","茄碍措肺","0.03","0.02","0.6","0.003","42","21"
"2020","亲悼","0.023","0.023","0.4","0.003","37","21"
"2020","青林","0.026","0.022","0.7","0.003","37","21"
"2020","全釜肺","0.033","0.022","0.5","0.003","35","20"
"2020","拳尔肺","0.03","0.022","0.4","0.004","42","22"
"2019","碍巢备","0.028","0.022","0.5","0.005","41","25"
"2019","碍巢措肺","0.047","0.017","0.6","0.004","47","26"
"2019","碍悼备","0.03","0.022","0.5","0.004","43","26"
"2019","碍函合肺","0.047","0.015","0.5","0.004","46","25"
"2019","碍合备","0.021","0.028","0.5","0.003","46","25"
"2019","碍辑备","0.03","0.027","0.5","0.005","47","26"
"2019","傍亲措肺","0.039","0.018","0.6","0.005","48","27"
"2019","包厩备","0.031","0.026","0.5","0.004","50","29"
"2019","包厩魂","0.012","0.028","0.4","0.004","41","23"
"2019","堡柳备","0.027","0.022","0.7","0.004","43","27"
"2019","备肺备","0.026","0.027","0.4","0.005","45","26"
"2019","陛玫备","0.031","0.022","0.5","0.004","39","25"
"2019","巢魂","0.023","0.03","0.8","0.005","43","24"
"2019","畴盔备","0.027","0.022","0.6","0.005","42","28"
"2019","档豪备","0.019","0.029","0.6","0.004","39","22"
"2019","档魂措肺","0.03","0.02","0.8","0.004","49","28"
"2019","悼措巩备","0.029","0.027","0.5","0.005","40","25"
"2019","悼累备","0.03","0.024","0.5","0.003","44","27"
"2019","悼累措肺","0.047","0.017","0.6","0.006","47","25"
"2019","付器备","0.027","0.025","0.5","0.004","48","28"
"2019","付器酒飘季磐","0.024","0.03","0.3","0.003","34","19"
"2019","合茄魂","0.011","0.029","0.6","0.003","35","21"
"2019","辑措巩备","0.023","0.027","0.8","0.004","42","24"
"2019","辑匡剑","0.024","0.023","0.5","0.004","42","20"
"2019","辑檬备","0.03","0.027","0.4","0.004","44","26"
"2019","己悼备","0.032","0.027","0.5","0.004","46","26"
"2019","己合备","0.032","0.023","0.7","0.003","45","23"
"2019","技邦","0.032","0.018","0.9","0.004","37","21"
"2019","价颇备","0.033","0.023","0.5","0.003","41","24"
"2019","矫蕊措肺","0.045","0.02","0.7","0.004","42","23"
"2019","脚锰肺","0.047","0.018","0.7","0.004","45","27"
"2019","剧玫备","0.032","0.024","0.5","0.004","48","26"
"2019","康殿器备","0.031","0.022","0.5","0.003","46","30"
"2019","康殿器肺","0.046","0.017","0.7","0.004","46","26"
"2019","棵覆侨傍盔","0.022","0.02","0.6","0.003","34","18"
"2019","侩魂备","0.032","0.023","0.5","0.003","35","24"
"2019","篮乞备","0.024","0.03","0.6","0.005","42","24"
"2019","磊楷荤冠拱包","","0.018","0.5","","37","19"
"2019","沥釜肺","0.046","0.014","0.5","0.004","45","28"
"2019","辆肺","0.033","0.022","0.5","0.003","40","22"
"2019","辆肺备","0.03","0.023","0.6","0.004","38","23"
"2019","吝备","0.032","0.027","0.6","0.003","38","23"
"2019","吝尔备","0.024","0.025","0.5","0.006","38","24"
"2019","玫龋措肺","0.041","0.02","0.6","0.003","47","23"
"2019","没拌玫肺","0.036","0.022","0.7","0.004","40","26"
"2019","茄碍措肺","0.04","0.017","0.6","0.004","49","28"
"2019","亲悼","0.033","0.021","0.6","0.004","40","23"
"2019","青林","0.025","0.028","0.7","0.004","45","23"
"2019","全釜肺","0.033","0.023","0.6","0.004","50","30"
"2019","拳尔肺","0.035","0.02","0.4","0.004","43","25"
"2018","碍巢备","0.031","0.017","0.5","0.005","35","22"
"2018","碍巢措肺","0.045","0.015","0.6","0.004","47","26"
"2018","碍悼备","0.03","0.021","0.5","0.005","44","23"
"2018","碍函合肺","0.04","0.014","0.5","0.004","46","24"
"2018","碍合备","0.021","0.029","0.4","0.003","35","19"
"2018","碍辑备","0.031","0.025","0.5","0.004","39","22"
"2018","傍亲措肺","0.043","0.015","0.5","0.006","49","27"
"2018","包厩备","0.032","0.023","0.4","0.004","44","27"
"2018","包厩魂","0.013","0.026","","0.004","33","18"
"2018","堡柳备","0.027","0.021","0.6","0.005","40","21"
"2018","备肺备","0.026","0.026","0.4","0.005","43","23"
"2018","陛玫备","0.031","0.023","0.5","0.004","39","23"
"2018","巢魂","0.029","0.028","0.6","0.005","38","19"
"2018","畴盔备","0.026","0.023","0.5","0.005","39","22"
"2018","档豪备","0.023","0.026","0.6","0.005","41","23"
"2018","档魂措肺","0.034","0.017","0.7","0.004","48","26"
"2018","悼措巩备","0.033","0.021","0.5","0.007","36","23"
"2018","悼累备","0.029","0.025","0.5","0.004","40","22"
"2018","悼累措肺","0.039","0.016","0.6","0.005","49","26"
"2018","付器备","0.026","0.024","0.5","0.004","44","25"
"2018","合茄魂","0.01","0.027","0.5","0.003","33","21"
"2018","辑措巩备","0.024","0.026","0.6","0.004","41","23"
"2018","辑檬备","0.028","0.025","0.4","0.004","42","22"
"2018","己悼备","0.026","0.018","0.4","0.005","42","24"
"2018","己合备","0.029","0.021","0.6","0.004","42","22"
"2018","技邦","0.034","0.018","0.8","0.004","42","20"
"2018","价颇备","0.027","0.024","0.6","0.004","42","22"
"2018","矫蕊措肺","0.049","0.009","0.8","0.005","47","25"
"2018","脚锰肺","0.046","0.012","0.8","0.005","52","27"
"2018","剧玫备","0.033","0.022","0.5","0.004","37","23"
"2018","康殿器备","0.027","0.022","0.6","0.005","48","28"
"2018","康殿器肺","0.047","0.013","0.6","0.006","52","28"
"2018","侩魂备","0.03","0.022","0.4","0.004","34","23"
"2018","篮乞备","0.025","0.028","0.5","0.004","42","26"
"2018","沥釜肺","0.044","0.018","0.6","0.005","47","27"
"2018","辆肺","0.037","0.021","0.5","0.004","36","20"
"2018","辆肺备","0.032","0.025","0.6","0.005","35","21"
"2018","吝备","0.031","0.025","0.5","0.003","36","22"
"2018","吝尔备","0.026","0.022","0.5","0.006","35","21"
"2018","玫龋措肺","0.042","0.018","0.6","0.004","48","24"
"2018","没拌玫肺","0.038","0.021","0.6","0.006","43","27"
"2018","茄碍措肺","0.046","0.018","0.6","0.005","51","27"
"2018","亲悼","0.022","0.021","0.5","0.008","53","33"
"2018","青林","0.023","0.024","0.7","0.004","46","21"
"2018","全釜肺","0.036","0.018","0.7","0.005","46","29"
"2018","拳尔肺","0.033","0.016","0.5","0.004","43","23"
"2017","碍巢备","0.03","0.02","0.4","0.005","44","25"
"2017","碍巢措肺","0.059","0.013","0.7","0.005","57","25"
"2017","碍悼备","0.031","0.023","0.5","0.004","48","24"
"2017","碍函合肺","0.044","0.014","0.5","0.004","53","24"
"2017","碍合备","0.024","0.031","0.5","0.004","37","22"
"2017","碍辑备","0.032","0.027","0.5","0.006","47","24"
"2017","傍亲措肺","0.047","0.016","0.5","0.006","65","33"
"2017","包厩备","0.032","0.025","0.5","0.006","43","26"
"2017","堡柳备","0.031","0.028","0.6","0.004","42","25"
"2017","备肺备","0.023","0.023","0.5","0.006","45","25"
"2017","陛玫备","0.032","0.026","0.5","0.004","41","26"
"2017","畴盔备","0.03","0.028","0.5","0.004","42","25"
"2017","档豪备","0.026","0.027","0.5","0.005","44","24"
"2017","档魂措肺","0.037","0.018","0.7","0.005","52","26"
"2017","悼措巩备","0.029","0.022","0.5","0.005","44","22"
"2017","悼累备","0.031","0.027","0.5","0.004","42","25"
"2017","悼累措肺","0.054","0.015","0.7","0.006","55","29"
"2017","付器备","0.03","0.026","0.5","0.004","41","28"
"2017","辑措巩备","0.027","0.025","0.5","0.005","46","24"
"2017","辑檬备","0.028","0.025","0.5","0.005","47","24"
"2017","己悼备","0.029","0.021","0.5","0.004","48","25"
"2017","己合备","0.033","0.023","0.6","0.004","47","26"
"2017","价颇备","0.029","0.025","0.6","0.005","45","23"
"2017","脚锰肺","0.052","0.012","0.9","0.006","53","28"
"2017","剧玫备","0.031","0.022","0.5","0.005","43","28"
"2017","康殿器备","0.03","0.026","0.7","0.005","49","24"
"2017","康殿器肺","0.053","0.013","0.5","0.006","59","28"
"2017","侩魂备","0.029","0.02","0.4","0.004","39","25"
"2017","篮乞备","0.026","0.028","0.6","0.004","44","23"
"2017","沥釜肺","0.036","0.019","0.6","0.006","56","27"
"2017","辆肺","0.04","0.019","0.5","0.004","44","28"
"2017","辆肺备","0.034","0.026","0.6","0.004","40","24"
"2017","吝备","0.035","0.025","0.5","0.004","40","24"
"2017","吝尔备","0.029","0.023","0.4","0.006","45","25"
"2017","玫龋措肺","0.043","0.017","0.5","0.004","50","27"
"2017","没拌玫肺","0.041","0.019","0.5","0.006","47","29"
"2017","茄碍措肺","0.045","0.018","0.6","0.005","58","26"
"2017","全釜肺","0.043","0.017","0.5","0.005","49","29"
"2017","拳尔肺","0.041","0.017","0.6","0.004","52","25"
"2016","碍巢备","0.033","0.023","0.4","0.005","51","27"
"2016","碍巢措肺","0.068","0.012","0.8","0.007","59","29"
"2016","碍悼备","0.033","0.019","0.5","0.004","53","27"
"2016","碍函合肺","0.051","0.013","0.6","0.005","57","26"
"2016","碍合备","0.03","0.027","0.5","0.004","42","26"
"2016","碍辑备","0.029","0.023","0.4","0.006","51","26"
"2016","傍亲措肺","0.041","0.012","0.6","0.005","66","27"
"2016","包厩备","0.035","0.026","0.6","0.006","48","29"
"2016","堡柳备","0.032","0.023","0.6","0.004","49","29"
"2016","备肺备","0.026","0.024","0.5","0.006","51","27"
"2016","陛玫备","0.034","0.026","0.5","0.004","45","26"
"2016","畴盔备","0.028","0.026","0.5","0.006","40","26"
"2016","档豪备","0.028","0.029","0.5","0.005","47","24"
"2016","档魂措肺","0.044","0.018","0.8","0.005","51","25"
"2016","悼措巩备","0.033","0.021","0.6","0.006","49","26"
"2016","悼累备","0.033","0.024","0.5","0.004","43","25"
"2016","悼累措肺","0.058","0.015","0.7","0.006","65","38"
"2016","付器备","0.033","0.026","0.6","0.005","46","28"
"2016","辑措巩备","0.026","0.028","0.5","0.004","50","24"
"2016","辑檬备","0.031","0.024","0.5","0.005","51","24"
"2016","己悼备","0.034","0.02","0.5","0.005","53","26"
"2016","己合备","0.034","0.021","0.6","0.005","49","25"
"2016","价颇备","0.032","0.024","0.6","0.005","46","25"
"2016","脚锰肺","0.052","0.012","0.8","0.006","65","29"
"2016","剧玫备","0.033","0.027","0.5","0.004","47","25"
"2016","康殿器备","0.027","0.024","0.7","0.004","55","27"
"2016","康殿器肺","0.058","0.013","0.5","0.007","60","29"
"2016","侩魂备","0.032","0.022","0.5","0.005","42","28"
"2016","篮乞备","0.03","0.025","0.5","0.006","47","24"
"2016","沥釜肺","0.031","0.024","0.6","0.006","56","28"
"2016","辆肺","0.044","0.016","0.5","0.004","46","24"
"2016","辆肺备","0.03","0.02","0.4","0.004","46","29"
"2016","吝备","0.036","0.023","0.6","0.005","47","26"
"2016","吝尔备","0.032","0.024","0.5","0.006","50","27"
"2016","玫龋措肺","0.044","0.017","0.6","0.005","44","25"
"2016","没拌玫肺","0.046","0.018","0.6","0.008","44","21"
"2016","茄碍措肺","0.048","0.017","0.6","0.005","60","29"
"2016","全釜肺","0.046","0.014","0.7","0.007","45","29"
"2016","拳尔肺","0.05","0.016","0.7","0.005","55","28"
"2015","碍巢备","0.035","0.021","0.5","0.005","46","23"
"2015","碍巢措肺","0.066","0.011","0.8","0.006","53","26"
"2015","碍悼备","0.031","0.021","0.5","0.005","44","22"
"2015","碍函合肺","0.053","0.013","0.6","0.005","49","26"
"2015","碍合备","0.03","0.021","0.4","0.005","43","22"
"2015","碍辑备","0.03","0.023","0.4","0.006","48","25"
"2015","傍亲措肺","0.035","0.016","0.7","0.006","70","30"
"2015","包厩备","0.035","0.022","0.7","0.005","51","26"
"2015","堡柳备","0.031","0.021","0.5","0.005","45","22"
"2015","备肺备","0.028","0.025","0.6","0.006","46","24"
"2015","陛玫备","0.033","0.019","0.6","0.006","47","27"
"2015","畴盔备","0.03","0.022","0.5","0.006","46","20"
"2015","档豪备","0.03","0.026","0.5","0.005","43","22"
"2015","档魂措肺","0.049","0.015","0.8","0.005","50","24"
"2015","悼措巩备","0.035","0.023","0.5","0.006","44","23"
"2015","悼累备","0.034","0.025","0.5","0.006","44","24"
"2015","悼累措肺","0.058","0.012","0.7","0.007","55","28"
